name,r,g,b,o
ottoman,0,0,0,0
storage_bench,255,255,0,0
mirror,28,230,255,0
shower,255,52,255,1
kitchen_appliance,255,74,70,0
sofa,0,137,65,1
outdoor_lamp,0,111,166,0
tripod,163,0,89,0
toilet,122,73,0,1
cart,0,0,166,0
Ground,99,255,172,0
decoration,183,151,98,0
arch,0,77,67,0
unknown,143,176,255,0
pet,153,125,135,0
computer,90,0,7,0
stairs,128,150,147,0
bed,254,255,230,1
heater,27,68,0,0
plant,79,198,1,1
mailbox,59,93,255,0
fence,74,59,83,0
shelving,255,47,128,0
safe,97,97,90,0
person,186,9,0,0
desk,107,121,0,0
television,0,194,160,1
stand,255,170,146,0
table_and_chair,255,144,201,1
whiteboard,185,3,170,0
ceiling,209,97,0,0
coffin,221,239,255,0
window,0,0,53,0
drinkbar,123,79,75,0
picture_frame,161,194,153,0
chair,48,0,24,1
wood_board,10,166,216,0
headstone,1,51,73,0
OTHER,0,132,111,0
wardrobe_cabinet,55,33,1,0
floor,255,181,0,0
fireplace,194,255,237,0
cloth,160,121,191,0
empty,204,7,68,0
tv_stand,194,255,153,0
garage_door,0,30,9,0
workplace,0,72,156,0
table,111,0,98,1
hanging_kitchen_cabinet,12,189,102,0
shoes,238,195,255,0
trash_can,69,109,117,0
kitchen_set,183,123,104,1
ATM,122,135,161,0
bench_chair,120,141,102,0
hanger,136,85,120,0
outdoor_seating,250,208,159,0
bathtub,255,138,154,1
kitchenware,209,87,160,0
outdoor_cover,190,196,89,0
dressing_table,69,102,72,0
bathroom_stuff,0,134,237,0
vehicle,136,111,76,1
candle,52,54,45,0
dresser,180,168,189,0
Ceiling,0,166,170,0
clock,69,44,44,0
pool,99,99,117,1
door,163,200,201,0
fan,255,145,63,0
magazines,147,138,129,0
kitchen_cabinet,87,83,41,1
partition,0,254,207,0
recreation,176,91,111,0
trinket,140,208,255,0
Box,59,151,0,0
wall,4,247,87,0
roof,200,161,161,0
books,30,110,0,0
gym_equipment,121,0,215,0
sink,167,117,0,0
rug,99,103,169,0
outdoor_spring,160,88,55,0
indoor_lamp,107,0,44,0
household_appliance,119,38,0,0
pillow,215,144,255,0
air_conditioner,155,151,0,0
toy,84,158,121,0
grill,255,246,159,0
vase,32,22,37,0
column,114,65,143,0
switch,188,35,255,0
shoes_cabinet,153,173,192,0
curtain,58,36,101,1
music,146,35,41,0
