coarse_grained_class,r,g,b,target_room
kitchen_cabinet,87,83,41,kitchen_cabinet
sofa,0,137,65,sofa
chair,48,0,24,chair
toilet,122,73,0,toilet
table,111,0,98,table
sink,167,117,0,sink
wardrobe_cabinet,55,33,1,wardrobe_cabinet
bed,254,255,230,bed
shelving,255,47,128,shelving
desk,107,121,0,desk
television,0,194,160,television
household_appliance,119,38,0,household_appliance
dresser,180,168,189,dresser
vehicle,136,111,76,vehicle
pool,99,99,117,pool
table_and_chair,255,144,201,table
table_and_chair,255,144,201,chair
dressing_table,69,102,72,desk
hanging_kitchen_cabinet,12,189,102,kitchen_cabinet
